Name,Name PGP
Hezekiah b. Solomon,Ḥizqiyyahu b. Shelomo
Ḥezekiah the Exilarch b. David,Ḥizqiyyahu the Exilarch b. David
Hiba b. Abū [...],Hiba b. Abū [...]
Hiba Ibn Zaʿafrān,Hiba Ibn Zaʿafrān
Hilāl,Hilāl
Hilāl b. [...],Hilāl b. [...]
"Hilāl, brother of Abū l-Majd","Hilāl, brother of Abū l-Majd"
Hillel,Hillel
Hillel b. ʿEli,Hillel b. ʿEli
Hillel he-Ḥaver b. Yešuʿa the cantor,Hillel he-Ḥaver b. Yeshuʿa the cantor
Hippocrates,Hippocrates
Ḥunayn b. Isḥāq,Ḥunayn b. Isḥāq
Ḥunayn ibn Isḥāq,Ḥunayn ibn Isḥāq
Ḥušiʾel b. Elḥanan,Ḥushiʾel b. Elḥanan
Ibn Abū l-Karmānī,Ibn Abū l-Karmānī
Ibn Al-Bayṭār,Ibn Al-Bayṭār
Ibn al-Bayṯar,Ibn al-Baythar
Ibn al-Ḥasan b. Hūlayf Iskanderānī,Ibn al-Ḥasan b. Hūlayf Iskanderānī
Ibn al-Jazzār,Ibn al-Jazzār
Ibn al-Ḵīzānī,Ibn al-Khīzānī
Ibn Al-Nafīs,Ibn Al-Nafīs
Ibn Al-Tilmīḏ,Ibn Al-Tilmīdh
Ibn Buṭlān,Ibn Buṭlān
Ibn Ezra,Ibn ʿEzra
Ibn Gabirol,Ibn Gabirol
Ibn Ḡayyāt,Ibn Ghayyāt
Ibn Gikatilla,Ibn Gikatilla
Ibn Hanzar (?),Ibn Hanzar (?)
Ibn Hayyūj,Ibn Hayyūj
Ibn Ibrahim b. Ṭiban,Ibn Ibrahim b. Ṭiban
Ibn Janah,Ibn Janah
Ibn Janaḥ,Ibn Janaḥ
Ibn Janāḥ,Ibn Janāḥ
Ibn Jasus,Ibn Jasus
Ibn Jumayʿ,Ibn Jumayʿ
Ibn Māsawayh,Ibn Māsawayh
Ibn Maṣmūd,Ibn Maṣmūd
Ibn Muhājir,Ibn Muhājir
Ibn Nafīʿ,Ibn Nafīʿ
"Ibn Naḥman the cantor, widow of","Ibn Naḥman the cantor, widow of"
Ibn Niffīʿ,Ibn Niffīʿ
Ibn Qaḍiyya,Ibn Qaḍiyya
Ibn Sina,Ibn Sina
Ibn Sīnā,Ibn Sīnā
Ibn Sīnā (Avicenna),Ibn Sīnā (Avicenna)
Ibn Šuʿba (Shiite author),Ibn Shuʿba (Shiite author)
Ibn Yūsuf Zītīn,Ibn Yūsuf Zītīn
Ibn ʿAlī,Ibn ʿAlī
Ibrahim,Ibrahim
Ibrāhīm,Ibrāhīm
Ibrahim al-Ma[..]ūdī known as Ibn al-Ḥarīrī,Ibrahim al-Ma[..]ūdī known as Ibn al-Ḥarīrī
Ibrahim b. Abū l-Surūr,Ibrahim b. Abū l-Surūr
Ibrāhīm b. Farrāḥ Iskandarānī,Ibrāhīm b. Farrāḥ Iskandarānī
Ibrahim b. Hilāl,Ibrahim b. Hilāl
Ibrahim b. Isḥāq,Ibrahim b. Isḥāq
Ibrahim b. Miṣbāḥ,Ibrahim b. Miṣbāḥ
Ibrāhim b. Muhammad,Ibrāhim b. Muhammad
Ibrahim b. Ṣedaqa the perfumer,Ibrahim b. Ṣedaqa the perfumer
Isaac,Yiṣḥaq
Isaac al-Fāsi,Yiṣḥaq al-Fāsi
Isaac al-Fāsī,Yiṣḥaq al-Fāsī
Isaac b. Aaron,Yiṣḥaq b. Aharon
Isaac b. Abraham b. Ezra,Yiṣḥaq b. Avraham b. ʿEzra
Isaac b. Asher Sefaradi,Yiṣḥaq b. Asher Sefaradi
Isaac b. Baruḵ,Yiṣḥaq b. Barukh
Isaac b. Benveniste,Yiṣḥaq b. Benveniste
Isaac b. Ezra,Yiṣḥaq b. ʿEzra
Isaac b. Joseph,Yiṣḥaq b. Yosef
Isaac b. Moses,Yiṣḥaq b. Moshe
Isaac b. Naʿīm,Yiṣḥaq b. Naʿīm
Isaac b. Nissim the Persian,Yiṣḥaq b. Nissim the Persian
Isaac b. Šabbāt,Yiṣḥaq b. Shabbāt
Isaac b. Samuel,Yiṣḥaq b. Shemuʾel
Isaac b. Samuel ‘the Spaniard’ al-Kinzī,Yiṣḥaq b. Shemuʾel ‘the Spaniard’ al-Kinzī
Isaac b. Samuel ha-Sefardi,Yiṣḥaq b. Shemuʾel ha-Sefardi
Isaac b. Saʿadya b. Sahlān,Yiṣḥaq b. Saʿadya b. Sahlān
Isaac b. Ṣedaqa the cantor,Yiṣḥaq b. Ṣedaqa the cantor
Isaac b. Simḥa Nisābūrī,Yiṣḥaq b. Simḥa Nisābūrī
Isaac b. Sulaymān,Yiṣḥaq b. Sulaymān
Isaac b. Yešuʿa,Yiṣḥaq b. Yeshuʿa
Isaac b. Yešuʿa b. Samḥun,Yiṣḥaq b. Yeshuʿa b. Samḥun
Isaac b. ʿEli,Yiṣḥaq b. ʿEli
Isaac Baronito b. Abraham Baronito,Yiṣḥaq Baronito b. Avraham Baronito
Isaac Gaʾon,Yiṣḥaq Gaʾon
Isaac ha-Kohen b. Isaiah,Yiṣḥaq ha-Kohen b. Yeshaʿyahu
Isaac ha-Levi b. [...],Yiṣḥaq ha-Levi b. [...]
Isaac ha-Levi b. Šamār,Yiṣḥaq ha-Levi b. Shamār
Isaac ha-Levi b. Simḥa,Yiṣḥaq ha-Levi b. Simḥa
Isaac ha-Levi b. Simḥa al-Nisābūrī,Yiṣḥaq ha-Levi b. Simḥa al-Nisābūrī
Isaac ha-Levi he-Ḥaver b. Solomon,Yiṣḥaq ha-Levi he-Ḥaver b. Shelomo
"Isaac he-Ḥaver, descendant of Meʾir Gaʾon","Yiṣḥaq he-Ḥaver, descendant of Meʾir Gaʾon"
Isaac Ibn Ghayyāt,Yiṣḥaq Ibn Ghayyāt
Isaac ibn Ḡiyyat,Yiṣḥaq ibn Ghiyyat
Isaac ibn Ḡiyyāṯ,Yiṣḥaq ibn Ghiyyāth
Isaac ibn Ḵalfun,Yiṣḥaq ibn Khalfun
Isaac ibn Ḵalfūn,Yiṣḥaq ibn Khalfūn
Isaac Israeli,Yiṣḥaq Yisraʾeli
Isaac Levi b. Simḥa Nīsābūrī,Yiṣḥaq Levi b. Simḥa Nīsābūrī
Isaac Luria,Yiṣḥaq Luria
Isaac Nīsābūrī,Yiṣḥaq Nīsābūrī
Isaac Simḥa al-Naysābūrī,Yiṣḥaq Simḥa al-Naysābūrī
Isaac Ṣit,Yiṣḥaq Ṣit
Isaac the blind,Yiṣḥaq the blind
Isaac the cantor b. Baruḵ,Yiṣḥaq the cantor b. Barukh
Isaac ʿAmmānī,Yiṣḥaq ʿAmmānī
Isaiah,Yeshaʿyahu
Isaiah b. Elʿazar שמאע,Yeshaʿyahu b. Elʿazar שמאע
Isaiah b. Isaac,Yeshaʿyahu b. Yiṣḥaq
Isaiah b. Isḥāq,Yeshaʿyahu b. Isḥāq
Isḥāq b. Maḵlūf al-Nafūsī,Isḥāq b. Makhlūf al-Nafūsī
Ishmael b. Abraham b. Kujik,Ishmael b. Avraham b. Kujik
Ismaʿīl,Ismaʿīl
Ismāʿīl,Ismāʿīl
Ismaʿīl b. Barhun,Ismaʿīl b. Barhun
Ismaʿīl b. Barhūn al-Tahertī,Ismaʿīl b. Barhūn al-Tahertī
Ismaʿīl b. Barhūn Taherti,Ismaʿīl b. Barhūn Taherti
Ismaʿīl b. Ḍiyā,Ismaʿīl b. Ḍiyā
Ismaʿīl b. Faraḥ,Ismaʿīl b. Faraḥ
Ismaʿīl b. Faraḥ al-Qābiṣī,Ismaʿīl b. Faraḥ al-Qābiṣī
Ismaʿīl b. Isaac al-Andalusī,Ismaʿīl b. Yiṣḥaq al-Andalusī
Ismaʿīl b. Isaac al-Andalūsī,Ismaʿīl b. Yiṣḥaq al-Andalūsī
Ismaʿīl b. Isaac ha-Andalūsī,Ismaʿīl b. Yiṣḥaq ha-Andalūsī
Ismaʿīl b. Jacob al-Andalusī,Ismaʿīl b. Yaʿaqov al-Andalusī
Ismaʿīl b. Joseph b. Abī ʿUqba,Ismaʿīl b. Yosef b. Abī ʿUqba
Ismaʿīl b. Salāma,Ismaʿīl b. Salāma
Israel b. Joseph al-Nakawa,Yisraʾel b. Yosef al-Nakawa
Israel b. Joseph b. Banuqa,Yisraʾel b. Yosef b. Banuqa
Israel b. Joseph b. Bānūqa,Yisraʾel b. Yosef b. Bānūqa
Israel b. Joseph b. Israel,Yisraʾel b. Yosef b. Yisraʾel
Israel b. Moses Najara,Yisraʾel b. Moshe Najara
Israel b. Nathan,Yisraʾel b. Natan
Israel b. Šuʿayb,Yisraʾel b. Shuʿayb
Israel ha-Kohen,Yisraʾel ha-Kohen
Israel ha-Kohen b. Samuel (Gaʾon),Yisraʾel ha-Kohen b. Shemuʾel (Gaʾon)
Issachar Kanīsī (יששכר כניסי),Issachar Kanīsī (יששכר כניסי)
Issachar the proselyte,Issachar the proselyte
Jābir,Jābir
Jacob,Yaʿaqov
Jacob (doctor),Yaʿaqov (doctor)
Jacob Alʿayin,Yaʿaqov Alʿayin
Jacob b. [...],Yaʿaqov b. [...]
Jacob b. [...] Nafūsī,Yaʿaqov b. [...] Nafūsī
Jacob b. Aaron,Yaʿaqov b. Aharon
Jacob b. Abba Mari Anatoli,Yaʿaqov b. Abba Mari Anatoli
Jacob b. Binyām,Yaʿaqov b. Binyām
Jacob b. Ephraim,Yaʿaqov b. Efrayim
Jacob b. Isaac,Yaʿaqov b. Yiṣḥaq
Jacob b. Ismaʿīl,Yaʿaqov b. Ismaʿīl
Jacob b. Ismaʿīl al-Andalusi,Yaʿaqov b. Ismaʿīl al-Andalusi
Jacob b. Ismaʿīl al-Andalūsī,Yaʿaqov b. Ismaʿīl al-Andalūsī
Jacob b. Joseph b. Ismaʿīl al-Aṭrābulsī,Yaʿaqov b. Yosef b. Ismaʿīl al-Aṭrābulsī
Jacob b. Naḥum b. Ḥakmon,Yaʿaqov b. Naḥum b. Ḥakmon
Jacob b. Nissim,Yaʿaqov b. Nissim
Jacob b. Sālim,Yaʿaqov b. Sālim
Jacob b. Salman al-Ḥarīrī,Yaʿaqov b. Salman al-Ḥarīrī
Jacob b. Salmān al-Ḥarirī,Yaʿaqov b. Salmān al-Ḥarirī
Jacob b. Salmān al-Ḥarīrī,Yaʿaqov b. Salmān al-Ḥarīrī
Jacob b. Samuel b. Abraham,Yaʿaqov b. Shemuʾel b. Avraham
Jacob b. Šela,Yaʿaqov b. Shela
Jacob Bagilyer,Yaʿaqov Bagilyer
Jacob ha-Kohen b. Isaiah,Yaʿaqov ha-Kohen b. Yeshaʿyahu
Jacob he-Ḥaver,Yaʿaqov he-Ḥaver
Jacob Levy,Yaʿaqov Levy
Jacob Šalom,Yaʿaqov Shalom
Jacob the blind,Yaʿaqov the blind
Jacob the Hebronite b. Isaac b. David Maʿaravi,Yaʿaqov the Hebronite b. Yiṣḥaq b. David Maʿaravi
Jacob רובס,Yaʿaqov רובס
Jalāl al-Dawla,Jalāl al-Dawla
Jalīla bat Ibrāhīm (wife of Burayk b. Sason),Jalīla bat Ibrāhīm (wife of Burayk b. Sason)
Joel the teacher,Yoʾel the teacher
John Chrysostom,John Chrysostom
Jonah b. Abraham Gerondi,Yona b. Avraham Gerondi
Jonah b. Janāḥ,Yona b. Janāḥ
Jonah ibn Janāḥ,Yona ibn Janāḥ
Jonathan ha-Kohen of Lunel,Yonatan ha-Kohen of Lunel
Joseph,Yosef
Joseph (muqaddam),Yosef (muqaddam)
Joseph [...],Yosef [...]
Joseph al-Baradāni,Yosef al-Baradāni
Joseph al-Baradānī,Yosef al-Baradānī
Joseph al-Muṣallī,Yosef al-Muṣallī
Joseph b. [...],Yosef b. [...]
Joseph b. Aaron the cantor,Yosef b. Aharon the cantor
Joseph b. Abitur,Yosef b. Abitur
Joseph b. Abitūr,Yosef b. Abitūr
Joseph b. Abraham,Yosef b. Avraham
Joseph b. Abū l-Bišr b. Makārim al-Iskandarī,Yosef b. Abū l-Bishr b. Makārim al-Iskandarī
Joseph b. al-Šāmī,Yosef b. al-Shāmī
Joseph b. Araḥ,Yosef b. Araḥ
Joseph b. Āraḥ,Yosef b. Āraḥ
Joseph b. Benjamin (banker),Yosef b.Binyamin (banker)
Joseph b. Berachiah,Yosef b. Berachiah
Joseph b. Bereḵya,Yosef b. Berekhya
Joseph b. Elijah,Yosef b. Eliyyahu
Joseph b. Elʿazar,Yosef b. Elʿazar
Joseph b. Ezra,Yosef b. ʿEzra
Joseph b. Faraḥ,Yosef b. Faraḥ
Joseph b. Farrāḥ,Yosef b. Farrāḥ
Joseph b. Geršon,Yosef b. Gershon
Joseph b. Ḥayyim al-Baradānī,Yosef b. Ḥayyim al-Baradānī
Joseph b. Hiba,Yosef b. Hiba
Joseph b. Ibrahim Ibn al-Ḥaver,Yosef b. Ibrahim Ibn al-Ḥaver
Joseph b. Isaac,Yosef b. Yiṣḥaq
Joseph b. Isaac Ibn Abitur,Yosef b. Yiṣḥaq Ibn Abitur
Joseph b. Ismaʿīl (Samaritan),Yosef b. Ismaʿīl (Samaritan)
Joseph b. Jacob,Yosef b. Yaʿaqov
Joseph b. Jacob al-Kohen,Yosef b. Yaʿaqov al-Kohen
Joseph b. Jacob b. Joseph ha-Ḥebroni b. Saʿadya he-Ḥaver,Yosef b. Yaʿaqov b. Yosef ha-Ḥebroni b. Saʿadya he-Ḥaver
Joseph b. Jacob ha-Bavli,Yosef b. Yaʿaqov ha-Bavli
"Joseph b. Josiah, daughter of","Yosef b. Yoshiyyahu, daughter of"
Joseph b. Joyya,Yosef b. Joyya
Joseph b. Judah b. Simḥa,Yosef b. Yehuda b. Simḥa
Joseph b. Kulayb,Yosef b. Kulayb
Joseph b. Masʿūd,Yosef b. Masʿūd
Joseph b. Maṯāb,Yosef b. Mathāb
Joseph b. Mawhūb b. Faraj,Yosef b. Mawhūb b. Faraj
Joseph b. Michael,Yosef b. Mikha’el
Joseph b. Mordechai,Yosef b. Mordekhay
Joseph b. Moses,Yosef b. Moshe
Joseph b. Mūsā,Yosef b. Mūsā
Joseph b. Mūsā Taherti,Yosef b. Mūsā Taherti
Joseph b. Mūsā Tahertī,Yosef b. Mūsā Tahertī
Joseph b. Muʿallā,Yosef b. Muʿallā
Joseph b. Nadiv the cantor,Yosef b. Nadiv the cantor
Joseph b. Nissan,Yosef b. Nissan
Joseph b. Peraḥya,Yosef b. Peraḥya
Joseph b. Peraḥya Ibn Yijū,Yosef b. Peraḥya Ibn Yijū
Joseph b. Ṣadiq,Yosef b. Ṣadiq
Joseph b. Sahl ha-Baradānī,Yosef b. Sahl ha-Baradānī
Joseph b. Samuel ha-Levi ibn Ḵatuš,Yosef b. Shemuʾel ha-Levi ibn Khatush
Joseph b. Saʿīd,Yosef b. Saʿīd
Joseph b. Šešet ha-Sefardi,Yosef b. Sheshet ha-Sefardi
Joseph b. Ṭabūl,Yosef b. Ṭabūl
Joseph b. Yefet,Yosef b. Yefet
Joseph b. Yešu‘a,Yosef b. Yeshu‘a
Joseph b. Yešuʿa al-Aṭrābulsī,Yosef b. Yeshuʿa al-Aṭrābulsī
Joseph b. ʿEli ha-Kohen Fāsī,Yosef b. ʿEli ha-Kohen Fāsī
Joseph b. ʿEli Kohen Fāsī,Yosef b. ʿEli Kohen Fāsī
Joseph b. ʿIwaḍ al-Iskandarī,Yosef b. ʿIwaḍ al-Iskandarī
Joseph Caro,Yosef Caro
Joseph Fitru,Yosef Fitru
Joseph ha-Kohen (b. Solomon),Yosef ha-Kohen (b. Shelomo)
Joseph ha-Kohen b. Solomon Gaʾon,Yosef ha-Kohen b. Shelomo Gaʾon
Joseph ha-Kohen he-Ḥaver b. Jacob,Yosef ha-Kohen he-Ḥaver b. Yaʿaqov
Joseph ha-Kohen he-Ḥaver b. Solomon,Yosef ha-Kohen he-Ḥaver b. Shelomo
Joseph ha-Kohen he-Ḥaver b. Solomon Head of the Yešiva,Yosef ha-Kohen he-Ḥaver b. Shelomo Head of the Yeshiva
Joseph ha-Kohen he-Ḥaver the Fourth b. Jacob,Yosef ha-Kohen he-Ḥaver the Fourth b. Yaʿaqov
Joseph ha-Levi b. Samuel,Yosef ha-Levi b. Shemuʾel
Joseph ha-Levi ha-Yerušalmi b. Moses,Yosef ha-Levi ha-Yerushalmi b. Moshe
Joseph ha-Qosṭandini,Yosef ha-Qosṭandini
Joseph ibn Abitur,Yosef ibn Abitur
Joseph Ibn Abiṭur,Yosef Ibn Abiṭur
Joseph ibn Avitur,Yosef ibn Avitur
Joseph ibn Ṣaddiq,Yosef ibn Ṣaddiq
Joseph Karo,Yosef Karo
Joseph Lebdi,Yosef Lebdi
Joseph Malili,Yosef Malili
Joseph of Tripolis,Yosef of Tripolis
Joseph Ṣarūr,Yosef Ṣarūr
Joseph Sidonil,Yosef Sidonil
Joseph Tamiš,Yosef Tamish
Joseph ʿAfīf b. Ezra,Yosef ʿAfīf b. ʿEzra
Joshua b. Ismaʿīl al-Maḥmūrī,Yehoshuaʿ b. Ismaʿīl al-Maḥmūrī
Joshua b. Joseph ha-Levi,Yehoshuaʿ b. Yosef ha-Levi
Joshua b. Saʿīd al-Maṣīṣī,Yehoshuaʿ b. Saʿīd al-Maṣīṣī
Joshua ha-Kohen b. Joseph,Yehoshuaʿ ha-Kohen b. Yosef
Joshua ha-Kohen ha-Mumḥe b. Yaʿir (judge in Tiberias),Yehoshuaʿ ha-Kohen ha-Mumḥe b. Yaʿir (judge in Tiberias)
Joshua he-Ḥaver b. ʿEli,Yehoshuaʿ he-Ḥaver b. ʿEli
Joshua he-Ḥaver b. ʿEli he-Ḥaver,Yehoshuaʿ he-Ḥaver b. ʿEli he-Ḥaver
Joshua Maimonides,Yehoshuaʿ Maimonides
Joshua Maimonides (Nagid),Yehoshuaʿ Maimonides (Nagid)
Joshua the Nagid,Yehoshuaʿ the Nagid
Josiah (Nasi),Yoshiyyahu (Nasi)
Josiah b. Aaron (Gaʾon),Yoshiyyahu b. Aharon (Gaʾon)
Josiah b. Aaron b. Josiah Gaʾon,Yoshiyyahu b. Aharon b. Yoshiyyahu Gaʾon
Josiah b. Mevoraḵ al-ʿĀqūlī,Yoshiyyahu b. Mevorakh al-ʿĀqūlī
Josiah b. Nehemiah (grandson of Abraham b. Sahlān),Yoshiyyahu b. Neḥemya (grandson of Avraham b. Sahlān)
Josiah Gaʾon,Yoshiyyahu Gaʾon
Judah,Yehuda
Judah b. Aaron al-ʿAmmānī (teacher),Yehuda b. Aharon al-ʿAmmānī (teacher)
Judah b. Aaron Ibn al-ʿAmmānī,Yehuda b. Aharon Ibn al-ʿAmmānī
Judah b. Aaron ʿAmmānī (teacher),Yehuda b. Aharon ʿAmmānī (teacher)
Judah b. Abraham,Yehuda b. Avraham
Judah b. Benjamin,Yehuda b. Binyamin
Judah b. David Hayyūj,Yehuda b. David Hayyūj
Judah b. Ḥalfon,Yehuda b. Ḥalfon
Judah b. Ismaʿīl Andalusi,Yehuda b. Ismaʿīl Andalusi
Judah b. Israel,Yehuda b. Yisraʾel
Judah b. Jacob,Yehuda b. Yaʿaqov
Judah b. Joseph,Yehuda b. Yosef
Judah b. Joseph b. al-Ḥanī al-Andalusi,Yehuda b. Yosef b. al-Ḥanī al-Andalusi
Judah b. Nathan,Yehuda b. Natan
Judah b. Sahl,Yehuda b. Sahl
Judah b. Salāma,Yehuda b. Salāma
Judah b. Samuel al-Badagūšī,Yehuda b. Shemuʾel al-Badagūshī
Judah b. Samuel ibn Balʿam,Yehuda b. Shemuʾel ibn Balʿam
Judah b. Samuel Ibn Balʿam (Abū Zakariyyā Yaḥyā),Yehuda b. Shemuʾel Ibn Balʿam (Abū Zakariyyā Yaḥyā)
Judah b. Solomon al-Ḥarīzī,Yehuda b. Shelomo al-Ḥarīzī
Judah b. Tibbon,Yehuda b. Tibbon
Judah Fariente,Yehuda Fariente
Judah Gibbor,Yehuda Gibbor
Judah ha-Kohen b. Joseph,Yehuda ha-Kohen b. Yosef
Judah ha-Kohen b. Ṭoviyyahu,Yehuda ha-Kohen b. Ṭoviyyahu
Judah ha-Levi,Yehuda ha-Levi
Judah ha-Melammed b. al-ʿAmmānī,Yehuda ha-Melammed b. al-ʿAmmānī
Judah Ḥayyūj,Yehuda Ḥayyūj
Judah ibn Daud Ḥayyūj,Yehuda ibn Daud Ḥayyūj
Judah Joseph Nissim Manīnī (יאודה יוסף נסים מניני),Yehuda Yosef Nissim Manīnī (יאודה יוסף נסים מניני)
Judah Kohen,Yehuda Kohen
Judah Levi,Yehuda Levi
Judah Samuel Abbas,Yehuda Shemuʾel Abbas
Judah the teacher,Yehuda the teacher
Ḵalaf,Khalaf
"Ḵalaf b. Harūn, wife of","Khalaf b. Harūn, wife of"
Ḵalaf b. Isaac,Khalaf b. Yiṣḥaq
Ḵalaf b. Isaac b. Bundār,Khalaf b. Yiṣḥaq b. Bundār
Ḵalfa b. Isḥāq b. Menaḥem,Khalfa b. Isḥāq b. Menaḥem
Ḵalfa the cantor Ibn al-Qafṣī,Khalfa the cantor Ibn al-Qafṣī
Ḵalīfa Ḥasan,Khalīfa Ḥasan
Ḵallūf b. Zechariah,Khallūf b. Zekharya
Ḵaṣīb (?) b. Musāfir,Khaṣīb (?) b. Musāfir
Kimchi,Kimchi
Ḵulūf,Khulūf
Labrāṭ b. Isaac,Labrāṭ b. Yiṣḥaq
Labrāṭ b. Moses b. Suḡmār,Labrāṭ b. Moshe b. Sughmār
Labrāṭ b. Moses Ibn Siḡmār,Labrāṭ b. Moshe Ibn Sighmār
Levi b. Geršon (Gersonides),Levi b. Gershon (Gersonides)
Levi b. Mar Saul,Levi b. Mar Shaʾul
Levi b. Mawhūb,Levi b. Mawhūb
Levi ibn Alterban,Levi ibn Alterban
Maḍmūn b. David,Maḍmūn b. David
Maḍmūn b. Ḥasan,Maḍmūn b. Ḥasan
Maḍmūn b. Ḥasan (Maḍmūn b. Yefet),Maḍmūn b. Ḥasan (Maḍmūn b. Yefet)
Maḍmūn b. Yefet (Maḍmūn b. Ḥasan),Maḍmūn b. Yefet (Maḍmūn b. Ḥasan)
Maḥāsin b. Abū ʿAlī,Maḥāsin b. Abū ʿAlī
Maḥfūẓ,Maḥfūẓ
Maḥfūẓ b. Mūsā,Maḥfūẓ b. Mūsā
Maḥrūz b. Jacob,Maḥrūz b. Yaʿaqov
Maimonides,Maimonides
Maḵlūf b. Mūsā,Makhlūf b. Mūsā
Maḵlūf b. Mūsā al-Nafūsī,Makhlūf b. Mūsā al-Nafūsī
Maḵlūf b. Mūsā al-Nafūsī (merchant),Makhlūf b. Mūsā al-Nafūsī (merchant)
Maḵlūf b. ʿAwāḍ the judge,Makhlūf b. ʿAwāḍ the judge
Malīḥa,Malīḥa
Manasseh b. [...],Menashshe b. [...]
Manasseh b. Ḥasan,Menashshe b. Ḥasan
Manasseh b. Joshua,Menashshe b. Yehoshuaʿ
Manasseh b. Judah ‘Descendant of the Geʾonim’,Menashshe b. Yehuda ‘Descendant of the Geʾonim’
Manasseh b. Moses,Menashshe b. Moshe
Manasseh b. Šemaʿya,Menashshe b. Shemaʿya
Manasseh the judge,Menashshe the judge
Manasseh the schoolmaster,Menashshe the schoolmaster
Manṣūr,Manṣūr
Manṣūr b. Ibrāhīm,Manṣūr b. Ibrāhīm
Manṣūr b. Sālim,Manṣūr b. Sālim
Manṣūr ha-Kohen (possibly Manṣūr b. Sālim),Manṣūr ha-Kohen (possibly Manṣūr b. Sālim)
Manṣūr Muqaddasī,Manṣūr Muqaddasī
"Manṣūr, wife of","Manṣūr, wife of"
Mar Elʿazar,Mar Elʿazar
Mardūk b. Mūsā,Mardūk b. Mūsā
Masalāma b. Abū l-Ḥay,Masalāma b. Abū l-Ḥay
Maṣliaḥ b. Elijah,Maṣliaḥ b. Eliyyahu
Maṣliaḥ b. Judah,Maṣliaḥ b. Yehuda
Maṣliaḥ b. Moses,Maṣliaḥ b. Moshe
Maṣliaḥ b. Moses b. Ṣalḥūn,Maṣliaḥ b. Moshe b. Ṣalḥūn
Maṣliaḥ Gaʾon,Maṣliaḥ Gaʾon
Maṣliaḥ ha-Kohen Gaʾon b. Solomon ha-Kohen Gaʾon,Maṣliaḥ ha-Kohen Gaʾon b. Shelomo ha-Kohen Gaʾon
Masʿūd Bunan,Masʿūd Bunan
Masʿūd Qasn,Masʿūd Qasn
Maymūn b. Adonim b. Josiah,Maymūn b. Adonim b. Yoshiyyahu
Maʿānī b. Abū Maslūk,Maʿānī b. Abū Maslūk
"Maʿānī, wife of","Maʿānī, wife of"
Menaḥem,Menaḥem
Menaḥem b. Samuel Kohen,Menaḥem b. Shemuʾel Kohen
Menaḥem b. Saruq,Menaḥem b. Saruq
Mešullam b. Manasseh,Meshullam b. Menashshe
Mešullam b. Moses of Béziers,Meshullam b. Moshe of Béziers
Mevasser b. David,Mevasser b. David
Mevasser b. David b. Mevasser,Mevasser b. David b. Mevasser
Mevasser b. Solomon,Mevasser b. Shelomo
Mevoraḵ b. Abraham,Mevorakh b. Avraham
Mevoraḵ b. Israel Janūbī,Mevorakh b. Yisraʾel Janūbī
Mevoraḵ b. Mawhūb b. Faraj,Mevorakh b. Mawhūb b. Faraj
Mevoraḵ b. Nathan,Mevorakh b. Natan
Mevoraḵ b. Nathan he-Ḥaver,Mevorakh b. Natan he-Ḥaver
Mevoraḵ b. Saʿadya,Mevorakh b. Saʿadya
Mevoraḵ ha-Kohen b. Nathan ha-Kohen he-Meʿulle the judge,Mevorakh ha-Kohen b. Natan ha-Kohen he-Meʿulle the judge
Meʾir b. Jacob (of Narbonne),Meʾir b. Yaʿaqov (of Narbonne)
Meʾir b. Naʿīm,Meʾir b. Naʿīm
Meʾir b. Yaḵin,Meʾir b. Yakhin
Meʾir Ibn al-Hamdānī,Meʾir Ibn al-Hamdānī
Meʾir Naʿim,Meʾir Naʿim
Meʿir,Meʿir
Meʿir Naʿīm,Meʿir Naʿīm
Mīḵāʾīl b. ʿAbd al-Masīḥ,Mīkhāʾīl b. ʿAbd al-Masīḥ
Miriam Maimonides,Miryam Maimonides
Mišaʾel b. ʿUzziʾel,Mishaʾel b. ʿUzziʾel
Mordechai,Mordekhay
Mordechai b. Simḥa,Mordekhay b. Simḥa
Mordechai ʿAmram ברגות,Mordekhay ʿAmram ברגות
Moritz […],Moritz […]
Moses,Moshe
Moses al-Sofer b. Joseph al-Qurṭubī,Moshe al-Sofer b. Yosef al-Qurṭubī
Moses b. Abī [...],Moshe b. Abī [...]
Moses b. Benjamin Aškenazi,Moshe b.Binyamin Ashkenazi
Moses b. Elijah ha-Levi,Moshe b. Eliyyahu ha-Levi
Moses b. Elʿazar,Moshe b. Elʿazar
Moses b. Isaac,Moshe b. Yiṣḥaq
Moses b. Isaac (the Karaite),Moshe b. Yiṣḥaq (the Karaite)
Moses b. Isaac he-Ḥaver b. Solomon he-Ḥaver b. Meʾir (scribe),Moshe b. Yiṣḥaq he-Ḥaver b. Shelomo he-Ḥaver b. Meʾir (scribe)
Moses b. Jacob,Moshe b. Yaʿaqov
Moses b. Jacob of Coucy,Moshe b. Yaʿaqov of Coucy
Moses b. Joseph the teacher,Moshe b. Yosef the teacher
Moses b. Joseph Yijū,Moshe b. Yosef Yijū
Moses b. Labrāṭ,Moshe b. Labrāṭ
Moses b. Levi,Moshe b. Levi
Moses b. Mevoraḵ the Nagid,Moshe b. Mevorakh the Nagid
Moses b. Samuel Ibn Jāmiʿ,Moshe b. Shemuʾel Ibn Jāmiʿ
Moses b. Yefet,Moshe b. Yefet
Moses b. ʿAmram b. Ḥalfon he-Ḥaver,Moshe b. ʿAmram b. Ḥalfon he-Ḥaver
Moses Benjamin,MosheBinyamin
Moses Ḡaylioun,Moshe Ghaylioun
