Name,Name PGP
Abū l-Faḍl b. Abū Naṣr,Abū l-Faḍl b. Abū Naṣr
Abū l-Faḍl b. Jacob,Abū l-Faḍl b. Yaʿaqov
Abū l-Faḍl b. Sahl,Abū l-Faḍl b. Sahl
Abū l-Faḍl Ibn al-Ahuv,Abū l-Faḍl Ibn al-Ahuv
"Abū l-Faḍl, brother-in-law of Elijah the judge","Abū l-Faḍl, brother-in-law of Eliyyahu the judge"
Abū l-Faraj,Abū l-Faraj
Abū l-Faraj al-Ḥaver,Abū l-Faraj al-Ḥaver
Abū l-Faraj b. Abū ʿAlā b. Daniel,Abū l-Faraj b. Abū ʿAlā b. Dani’el
Abū l-Faraj b. Hillel,Abū l-Faraj b. Hillel
Abū l-Faraj b. Ḵalaf,Abū l-Faraj b. Khalaf
Abū l-Faraj b. Mubārak,Abū l-Faraj b. Mubārak
Abū l-Faraj b. Qasāsa,Abū l-Faraj b. Qasāsa
Abū l-Faraj Hārūn,Abū l-Faraj Hārūn
Abū l-Hasan,Abū l-Hasan
Abū l-Ḥasan,Abū l-Ḥasan
Abū l-Ḥasan al-Dimašqī,Abū l-Ḥasan al-Dimashqī
Abū l-Ḥasan b. Ibrahim,Abū l-Ḥasan b. Ibrahim
Abū l-Ḥasan b. Maḵlūq,Abū l-Ḥasan b. Makhlūq
Abū l-Ḥasan Judah,Abū l-Ḥasan Yehuda
"Abū l-Ḥasan ʿEli b. Hilāl the cantor al-Baḡdādī, sister of (possibly wife of Ḥalfon b. Manasseh)","Abū l-Ḥasan ʿEli b. Hilāl the cantor al-Baghdādī, sister of (possibly wife of Ḥalfon b. Menashshe)"
Abū l-Ḥay b. Ṣāliḥ al-Ṣabbāḡ,Abū l-Ḥay b. Ṣāliḥ al-Ṣabbāgh
Abū l-Ḥay the teacher b. Abraham,Abū l-Ḥay the teacher b. Avraham
Abū l-Ḥayy b. Barhūn Ḵalīla (Ismāʿīl Tahertī),Abū l-Ḥayy b. Barhūn Khalīla (Ismāʿīl Tahertī)
Abū l-Ḥujāj b. Abū l-Faraj,Abū l-Ḥujāj b. Abū l-Faraj
Abū l-Ḥusayn,Abū l-Ḥusayn
Abū l-Ḵayr,Abū l-Khayr
Abū l-Maḥāsin,Abū l-Maḥāsin
Abū l-Maḥāsin b. Abū Naṣr al-Ḥasīd,Abū l-Maḥāsin b. Abū Naṣr al-Ḥasīd
Abū l-Maḥāsin b. ʿAlī (trader),Abū l-Maḥāsin b. ʿAlī (trader)
"Abū l-Maḥāsin, mother of","Abū l-Maḥāsin, mother of"
Abū l-Majd,Abū l-Majd
Abū l-Majd (cantor),Abū l-Majd (cantor)
Abū l-Majd b. Abū l-Faraj,Abū l-Majd b. Abū l-Faraj
Abū l-Majd b. Ṯābit (Abū l-Majd Meʾir b. Yaḵin),Abū l-Majd b. Thābit (Abū l-Majd Meʾir b. Yakhin)
Abū l-Majd the cantor,Abū l-Majd the cantor
Abū l-Manṣūr,Abū l-Manṣūr
Abū l-Manṣūr b. Abū l-Faraj,Abū l-Manṣūr b. Abū l-Faraj
Abū l-Manṣūr b. Ṭāhir al-Kohen,Abū l-Manṣūr b. Ṭāhir al-Kohen
Abū l-Maʿālī,Abū l-Maʿālī
Abū l-Maʿānī,Abū l-Maʿānī
Abū l-Najm,Abū l-Najm
Abū l-Qasam,Abū l-Qasam
Abū l-Qāsim Ḵalaf b.ʿAbbās al-Zahrāwī,Abū l-Qāsim Khalaf b.ʿAbbās al-Zahrāwī
Abū l-Rabīʿ Solomon,Abū l-Rabīʿ Shelomo
Abū l-Riḍā,Abū l-Riḍā
Abū l-Riḍā b. Faraj,Abū l-Riḍā b. Faraj
Abū l-Riḍā ha-Kohen,Abū l-Riḍā ha-Kohen
Abū l-Saʿd ‘Head of the Congregations’,Abū l-Saʿd ‘Head of the Congregations’
Abū l-Surūr,Abū l-Surūr
Abū l-Surūr ‘Head of the Congregations’,Abū l-Surūr ‘Head of the Congregations’
Abū l-Surūr b. Ṭarīf,Abū l-Surūr b. Ṭarīf
Abū l-Surūr Qaṭāʾif,Abū l-Surūr Qaṭāʾif
Abū l-Ṯanā,Abū l-Thanā
Abū l-ʿAlā,Abū l-ʿAlā
Abū l-ʿAlā al-Kohen,Abū l-ʿAlā al-Kohen
Abū l-ʿIzz b. Abū l-Munā,Abū l-ʿIzz b. Abū l-Munā
Abū l-ʿIzz b. Abū ʿUmar,Abū l-ʿIzz b. Abū ʿUmar
Abū Manṣūr b. Abū Saʿd,Abū Manṣūr b. Abū Saʿd
Abū Maymūn Yaʿqūb,Abū Maymūn Yaʿqūb
Abū Maʿālī ibn Tammām,Abū Maʿālī ibn Tammām
Abū Mūsā,Abū Mūsā
Abū Musallam,Abū Musallam
Abū Naṣr b. Abraham,Abū Naṣr b. Avraham
"Abū Naṣr, son of the doctor","Abū Naṣr, son of the doctor"
Abū Niʿma,Abū Niʿma
Abū Riḍā,Abū Riḍā
"Abū Sarī, widow of","Abū Sarī, widow of"
Abū Saʿd,Abū Saʿd
Abū Saʿd al-Maḡribī,Abū Saʿd al-Maghribī
Abū Saʿīd,Abū Saʿīd
Abū Saʿīd b. [...],Abū Saʿīd b. [...]
Abū Saʿīd b. Abū l-Ḥasan al-Abzārī,Abū Saʿīd b. Abū l-Ḥasan al-Abzārī
Abū Saʿīd Ibn al-[...],Abū Saʿīd Ibn al-[...]
Abū Surūr,Abū Surūr
Abū Yaʿqūb Joseph b. Abraham al-Baṣīr,Abū Yaʿqūb Yosef b. Avraham al-Baṣīr
Abū Yaʿqūb the teacher,Abū Yaʿqūb the teacher
Abū Zikrī,Abū Zikrī
Abū Zikrī b. Abū l-Faraj,Abū Zikrī b. Abū l-Faraj
Abū Zikrī b. Abū l-Riḍā,Abū Zikrī b. Abū l-Riḍā
Abū Zikrī b. Ḥananel,Abū Zikrī b. Ḥananel
Abū Zikrī Kohen,Abū Zikrī Kohen
Abū Zikrī Kohl,Abū Zikrī Kohl
Abū Zikrī the physician in Jerusalem,Abū Zikrī the physician in Jerusalem
Abū ʿAl [...] Ibn al-Damyāṭī,Abū ʿAl [...] Ibn al-Damyāṭī
Abū ʿAlī,Abū ʿAlī
Abū ʿAlī b. Abū l-Mānī,Abū ʿAlī b. Abū l-Mānī
Abū ʿAlī b. Abū Sahl Ibn Qaṭāʾif,Abū ʿAlī b. Abū Sahl Ibn Qaṭāʾif
Abū ʿAlī b. Barakāt,Abū ʿAlī b. Barakāt
Abū ʿAlī Ḥasan b. ʿImrān,Abū ʿAlī Ḥasan b. ʿImrān
Abū ʿEli b. ʿImrān,Abū ʿEli b. ʿImrān
Abū ʿUmar,Abū ʿUmar
Abū ʿUmar b. Abū l-Riḍā,Abū ʿUmar b. Abū l-Riḍā
al-Ḏahabī,al-Dhahabī
Al-Dimašqī,al-Dimashqī
al-Farrābī,al-Farrābī
al-Ḥarizi,al-Ḥarizi
al-Ḥarīzī (?),al-Ḥarīzī (?)
Al-Kindī,Al-Kindī
Al-Majūsī,al-Majūsī
Al-Rašīd,al-Rashīd
al-Rāzī,al-Rāzī
al-Ṭabarī,al-Ṭabarī
al-Zahrāwī,al-Zahrāwī
al-ʿAsqalānī,al-ʿAsqalānī
Alī ibn ʿĪsā,Alī ibn ʿĪsā
Āmid b. Ibrahīm b. Abū Ḵalīd,Āmid b. Ibrahīm b. Abū Khalīd
Amīn al-Dawla Abū al-Ḥasan Hibat Allāh ibn Saʿīd (known as al-Tilmīḏ),Amīn al-Dawla Abū al-Ḥasan Hibat Allāh ibn Saʿīd (known as al-Tilmīdh)
Aquila,Aquila
Araḥ b. Nathan,Araḥ b. Natan
